identifiant;formulation;domaine;type;variables_observables;prediction_oric;modele_nul;modele_concurrent;temoin_complexite_egale;intervention_ou_contraste;metrique_principale;seuil_de_reussite;fenetre_temporelle;conditions_arret;donnees_apprentissage;donnees_validation;statut_final;ou
H-S-001;"Réduire une perte peut diminuer la persistance globale ; l'intervention sur la perte a un effet causal sur le régime du chémostat.";socle;confirmatoire;S, P, seuil de lavage l_crit, temps de relaxation;bifurcation transcritique en l_crit, ralentissement critique en 1/|l-l_crit|;équilibre sans perte;modèle de contrôle optimal;sans objet, test analytique et numérique;intervention directe sur le taux de perte l;11 contrôles analytiques et numériques;11/11;jusqu'à convergence, écarts 1e-2 à 1e-5 du seuil;échec d'un contrôle asymptotique;aucune, modèle analytique;régénération indépendante du script;Validé dans le modèle réduit;00_socle/test_interventionnel/resultats_exhaustifs/rapport_exhaustif.txt
H-S-002;Les six dimensions n, G, I, E, Pi, H se codent sans chevauchement complet sur des systèmes des trois branches.;socle;exploratoire;codage des 40 transitions, 47 relations;codage stable et séparable entre codeurs;chronologie descriptive simple;graphe causal standard;graphe nul conservant le degré;retrait du nom du domaine avant codage;accord inter-codeurs;à préenregistrer, WP-S1.1;sans objet;accord inter-codeurs non mesurable;carte relationnelle;relations masquées;Non testé;plan_directeur/PLAN_DIRECTEUR_TESTS.md WP-S1.1
H-M-001;Les dimensions ORI-C améliorent la reconstruction des transitions de la matière par rapport à une chronologie descriptive.;branche 1 matière;confirmatoire;40 transitions, états antérieur et postérieur;reconstruction de transitions masquées supérieure au témoin;chronologie descriptive;graphe causal standard, réseau sans histoire;modèle de même nombre de paramètres sans variable d'histoire;masquage de 20 % des transitions;taux de reconstruction correcte, calibration;à préenregistrer, WP-M5;sans objet;aucun gain contre le témoin apparié;80 % des transitions;20 % masquées;Non testé;ETAT_DES_PREUVES.md, branche 1
H-A-001;Le modèle réduit reproduit une trajectoire astronomique indépendante, et modifier l'architecture change la trajectoire terrestre.;branche 2 couche astronomique;confirmatoire;excentricité, obliquité, spectre orbital;reproduction des solutions de référence, effet causal de l'architecture;solution de référence La2004;intégrateurs alternatifs;sans objet, comparaison à référence externe;perturbation des masses et demi-grands axes;15 critères préenregistrés;critères préenregistrés par observable;horizons croissants jusqu'à divergence chaotique;non-reproductibilité entre intégrateurs;conditions initiales JPL;solutions La2004 et La2010;Établi;02_branche_systeme_solaire/couche_astronomique/STATUT_SCIENTIFIQUE.md
H-C-001;Une mémoire de la réponse passée (M2) prédit LR04 hors échantillon mieux qu'un modèle sans cette mémoire (M1).;branche 2 couche mémoire;confirmatoire;d18O benthique LR04, insolation 65N;RMSE hors échantillon inférieure à M1;M0, réponse instantanée;M1, 6 paramètres;M1P, 8 paramètres, état lent piloté par forçage externe;ablation de la rétroaction de réponse passée;RMSE hors échantillon;5 critères préenregistrés;calibration 2600-1200 ka, prédiction 1200-0 ka;échec sur deux jeux confirmatoires indépendants;LR04 2600-1200 ka;LR04 1200-0 ka;Réfuté;02_.../couche_memoire_historique/RAPPORT_CORRIGE.md, 1/5
H-C-002;Le gain de M2 subsiste contre un témoin de complexité égale (M1P).;branche 2 couche mémoire;confirmatoire;d18O benthique LR04, insolation 65N;RMSE inférieure à M1P;M0;M1;M1P;substitution de la variable motrice de l'état lent;gain relatif de RMSE;5 critères préenregistrés;calibration 2600-1200 ka, prédiction 1200-0 ka;gain négatif;LR04 2600-1200 ka;LR04 1200-0 ka;Réfuté;"02_.../RAPPORT_CORRIGE.md, 0/5 ; gain -0,316 IC [-0,389 ; -0,251]"
H-C-003;Le gain de M2 dépasse l'incertitude publiée de l'archive.;branche 2 couche mémoire;confirmatoire;RMSE, colonne d18O_error de LR04;gain supérieur à l'erreur publiée;M0;M1;M1P;comparaison du gain au plancher de l'archive;rapport gain sur incertitude;rapport > 1;prédiction 1200-0 ka;rapport < 1;LR04 2600-1200 ka;LR04 1200-0 ka;Réfuté;02_.../results_stress/tests_reels/RAPPORT_TESTS_REELS.md T1, rapport 0,377
H-C-004;M2 prédit la transition du Pléistocène moyen lorsqu'elle est entièrement hors échantillon.;branche 2 couche mémoire;confirmatoire;d18O LR04 sur 5,32 Ma, rapport 100/41 ka;RMSE inférieure au témoin apparié;M0;M1;M1P;calibration antérieure à la transition;RMSE hors échantillon, bootstrap par blocs;gain positif, IC excluant zéro;calibration 5320-2600 ka, prédiction 2600-0 ka;gain négatif avec IC excluant zéro;LR04 5320-2600 ka;LR04 2600-0 ka;Réfuté;"…/RAPPORT_TESTS_REELS.md T2, gain -1,442 IC [-1,789 ; -0,810]"
H-C-005;M2 place la transition du Pléistocène moyen à la bonne date, mesurée par le franchissement du rapport 100/41.;branche 2 couche mémoire;confirmatoire;rapport de puissance 100/41 en fenêtre glissante;date de franchissement proche de l'observation;M0;M1;M1P;comparaison de chronologie spectrale;date de premier franchissement du rapport 1;écart à la date observée;fenêtre glissante 800 ka sur 5,32 Ma;critère inapplicable;LR04 5320-2600 ka;LR04 2600-0 ka;Sans verdict;…/RAPPORT_TESTS_REELS.md T4 : LR04 franchit 1 six fois, critère non défini sur l'observation
H-C-006;Le verdict négatif ne dépend pas du découpage calibration / prédiction.;branche 2 couche mémoire;confirmatoire;RMSE par bloc;au moins un bloc favorable à M2 contre M1P;M0;M1;M1P;validation croisée en cinq blocs contigus;nombre de blocs favorables;majorité de blocs favorables;cinq blocs de 520 ka sur 2,6 Ma;zéro bloc favorable;quatre blocs sur cinq, en rotation;bloc restant;Réfuté;…/RAPPORT_TESTS_REELS_2.md G1, 0 bloc sur 5
H-C-007;La mémoire de M2 porte une information de sens du temps que le témoin apparié n'a pas.;branche 2 couche mémoire;confirmatoire;RMSE d'ajustement en sens direct et retourné;asymétrie de M2 supérieure à celle de M1P;M0;M1;M1P;retournement temporel sur masque centré symétrique;asymétrie RMSE arrière moins avant;asymétrie M2 > asymétrie M1P;masque centré 2015-585 ka, 1431 points;aucun intervalle de confiance calculable;masque centré;même masque, sens inversé;Non concluant;…/RAPPORT_TESTS_REELS_2.md G2 corrigé, aucun IC, effets 1 à 6 %
H-C-008;Le verdict négatif ne dépend pas de la convention d'insolation.;branche 2 couche mémoire;confirmatoire;RMSE sous quatre conventions;au moins une convention favorable à M2;M0;M1;M1P;60N, 65N, 70N au solstice et moyenne annuelle;signe du gain contre M1P;au moins une convention favorable;calibration 2600-1200 ka, prédiction 1200-0 ka;zéro convention favorable;LR04 2600-1200 ka;LR04 1200-0 ka;Réfuté;…/RAPPORT_TESTS_REELS_2.md G3, 0 sur 4, étendue 0,006
H-C-009;Le gain de M2 se distingue d'une distribution nulle de même spectre et de phases aléatoires.;branche 2 couche mémoire;confirmatoire;gain relatif sur cibles surrogates;gain observé au-dessus de la distribution nulle;surrogates de Fourier;M1;M1P;randomisation des phases de la cible;p unilatérale;p < 0,05;calibration 2600-1200 ka, prédiction 1200-0 ka;puissance insuffisante;LR04 2600-1200 ka;12 surrogates;Non concluant;…/RAPPORT_TESTS_REELS_2.md G4, p = 0,923, nulle large
H-C-010;L'indétermination des solutions orbitales limite l'interprétation des résultats climatiques.;branche 2 couche mémoire;exploratoire;excentricité des quatre solutions La2010;dispersion comparable aux effets discutés;solution unique;sans objet;sans objet;comparaison des quatre solutions admissibles;dispersion relative moyenne;sans objet, mesure de plancher;0-2600 ka;sans objet;aucune;La2010 a, b, c, d;Établi;"…/RAPPORT_TESTS_REELS.md T3, 5,2e-4 ; l'objection est fermée"
H-C-011;La bistabilité de l'EMIC réduit suffit à produire une dépendance au chemin permanente.;branche 2 test prospectif;confirmatoire;étendue de la fraction de glace finale;attracteurs multiples sans états lents;mode classic;mode ablated;M2P;balayage de 150 états initiaux sur 400 Ma;étendue de la fraction de glace;étendue non nulle;400 Ma;monostabilité aux points testés;aucune, modèle;quatre points de forçage;Réfuté;…/results_stress/prospectif/RAPPORT_PROSPECTIF.md H1
H-C-012;La mémoire ORI-C ajoute quelque chose à bistabilité égale.;branche 2 test prospectif;confirmatoire;monostabilité de M2P;M2 multistable, M2P monostable;mode classic;mode ablated;M2P, mal apparié sur le canal régolithe;substitution des entrées des états lents;étendue de la fraction de glace;préenregistré;400 Ma;témoin non apparié;aucune, modèle;quatre points de forçage;Non concluant;"…/RAPPORT_PROSPECTIF.md H2 ; à repréenregistrer, WP-C2"
H-C-013;Les bassins d'attraction sont asymétriques.;branche 2 test prospectif;confirmatoire;frontière de bassin;asymétrie mesurable;mode classic;mode ablated;M2P;bissection de la frontière de bassin;asymétrie de bassin;préenregistré;400 Ma;frontière indéterminable au sens du protocole;aucune, modèle;quatre points de forçage;Non évalué;"…/RAPPORT_PROSPECTIF.md H3 ; frontière indéterminable"
